price_ori,delivery,item_category_detail,title,item_rating,seller_name,price_actual
68.88,,Shopee | Health & Beauty | Personal Pleasure | Adult Toys,BATTERY PENIS PUMP USB RECHARGE LCD Rechargeable Penis Enlargement Automatic Vacuum Penis Pump Pam Pembesar Zakar | Shopee Malaysia,4.8,toys69xx,68.88
0.35,,Shopee | Health & Beauty | Eye Care | Eye Mask,Borong Images/ Collagen Crystal Eye Mask/ Hot Steam Eyemask Goggles Remove Eye Bags Dark Circles Mask Mata 蒸汽眼罩 胶原蛋白水晶眼膜 | Shopee Malaysia,5,vivid.beauty,0.3
8.9,,Shopee | Home Appliances | Landline Phones | Wired Phone,Spiral Cable Telephone Handle Rj-9 4P4C Telephone Cable Telephone Handle Rj9 Callamy | Shopee Malaysia,No ratings yet,callamyshoppzr.my,8.9
58,,Shopee | Mobile & Accessories | Audio | Wireless Earbuds,2023 NEW TWS M25 bluetooth earphone 5.3 Waterproof Wireless Headphone 9D Stereo Sports Earbuds LED Microphoe | Shopee Malaysia,4.8,zx3c.my,18.5
2.99,,"Shopee | Health & Beauty | Bath & Body | Body Scrubs, Exfoliant & Peel",Avocado Scrub Body Scrub Ice Cream Exfoliating Deep 250g 吟美牛油果冰淇淋磨砂膏全身去鸡皮补水滋润顺滑清洁氨基酸沐浴露 | Shopee Malaysia,4.9,twinkleshoppe,2.39
10.9,"KL City, Kuala Lumpur",Shopee | Men Clothes | Sets | Occupational Attire,SECURITY SAFETY VEST FREE SIZE(up to xxl) or security vest with zip | Shopee Malaysia,4.8,promart88,10.9
150,"KL City, Kuala Lumpur",Shopee | Home & Living | Bedding | Bedding Sets & Sheets,TILAM KEKABU EXTRA TEBAL 7 INCI SIZE QUEEN 100% KAIN COTTON SEJUK | Shopee Malaysia,4.8,paradisecarpet,89.99
49,"KL City, Kuala Lumpur",Shopee | Men Shoes | Loafers & Slip-Ons | Loafers & Boat Shoes,2022 Solid Color Non-slip Men Driving Shoes Spring Autumn New Leather Breathable Men&#39;s Peas Shoes British Casual Sneakers | Shopee Malaysia,4.8,zhuokeda8.my,26.95
0.15,,Shopee | Others | Fengshui & Religious Supplies,路票 封条 清明祭品 Qing Ming Product | Shopee Malaysia,5,fucai_onlinestore,0.15
5,,Shopee | Gaming & Consoles | Console Accessories | PC & Mobile Accessories,Wenbo Sweatproof Mobile Phone Game Finger Sleeve Controller Breathable Non Slip Touch Screen sarung tangan gaming | Shopee Malaysia,4.9,wenboofficialstore,0.6
25,,Shopee | Cameras & Drones | Others | Others,Phone Housing Back Battery Cover Glue Tape For Samsung Galaxy Note 7 8 9 10 20 Plus Ultra / Note7 Note8 Note9 Note10 10Plus 20Ultra For N9500 N9600 | Shopee Malaysia,4.4,yatimaoyi.my,7.8
4.3,,Shopee | Sports & Outdoor | Basketball | Basketball Accessories,☺GMY☺ Soccer Basketball Flexible Adjustable Player Bands Fluorescent Captain Armband | Shopee Malaysia,4.9,grssmail.my,2.17
79.63,"KL City, Kuala Lumpur",Shopee | Health & Beauty | Pedicure & Manicure | Nail Care Tools,20Pcs Nail Gel Kit 36W Nail Lamp with 7ml Long Lasting Nail  Set Professional Nail Art Tools DIY Nail Design Suit | Shopee Malaysia,4.8,shelloloh.my,57.58
5.5,"KL City, Kuala Lumpur",Shopee | Men Shoes | Sandals & Flip Flops | Sandals,（Ready Stock）Nike Selipar/Nike Sandal selipper Lelaki Perempuan/耐克男女拖鞋 | Shopee Malaysia,4.5,jeanmeimei,5.5
2.8,,Shopee | Men Shoes | Sandals & Flip Flops | Flip Flops,Ladies Eva Printed Flip Flops.(Random Design & Color) | Shopee Malaysia,4.9,sanducflipflops.os,2.8
36,,Shopee | Cameras & Drones | Other Cameras | Video Camcorders,Spy Sq11 Mini Security Camera HD 1080P Sensor Night Vision Camcorder Motion DVR Micro Camera Sport Video small Camera Ready Stock | Shopee Malaysia,4.4,gengyao.my,15.99
6.65,,"Shopee | Games, Books & Hobbies | Other Languages Books | Professional Books",BUKU KERJA: GET READY PT3 KSSM TINGKATAN 3 BAHASA MELAYU-ENGLISH-MATEMATIK-SAINS-GEOGRAFI-SEJARAH-RBT-P.ISLAM | Shopee Malaysia,5,jasontan5285,5.32
0.69,,Shopee | Health & Beauty | Personal Pleasure | Adult Accessories & Others,Julia's Tisu Tahan Lama Male Delay God Oil Wipes Natural Tissue India Oil Sexual Lengthen Enhancer Pleasure for Lasting | Shopee Malaysia,4.7,julia.toys,0.22
0.9,,Shopee | Health & Beauty | Face Make Up | Powder & Compacts,Bedak hibka / bedak trisna / bedak ketiak bau badan | Shopee Malaysia,4.8,taufikstore0,0.9
0.77,,Shopee | Health & Beauty | Eye Care | Eye Mask,STEAM EYE MASK 1pcs 蒸汽眼罩  EYE CARE RELAXING EYE 足进眼部血液循环 | Shopee Malaysia,4.9,herbscaretou,0.76
85,"KL City, Kuala Lumpur",Shopee | Women Clothes | Plus Size | Dresses,ZANZEA Women Printed Button Down Front Side Pockets Muslim Long Dress | Shopee Malaysia,4.9,zanzea.os,34.99
2.9,,Shopee | Men Shoes | Shoe Care & Accessories | Care & Cleaning Tools,Viral Shoe Cleaning Wet Tissue Quick Wipes Sneakers Care Shoes cleaning Solution Tisu Cuci Kasut 擦鞋湿纸巾 | Shopee Malaysia,4.8,crazyman01,0.45
2.45,,Shopee | Cameras & Drones | Car Cameras | Camcorders & Parking Cameras,Tubeless Valve / palo bar | Shopee Malaysia,4.9,xlapt07,2.45
18.95,"KL City, Kuala Lumpur",Shopee | Men Shoes | Loafers & Slip-Ons | Slip Ons & Mules,[shoesPLAZZA]🔥🔥READY STOCK Men's Upper Quality Stylish Sandal Slipper | Shopee Malaysia,4.9,shoesplazza,18.95
0.1,,Shopee | Others | Fengshui & Religious Supplies,結緣法宝～佛教教育《金剛般若波羅蜜經》《金剛經講記》佛經《金剛經課誦本金剛經白話直譯》Buddhist Scriptures（請注意：一毛錢是包裝費，法寶是免費結緣的） | Shopee Malaysia,5,colin_lim,0.1
315,"KL City, Kuala Lumpur",Shopee | Cameras & Drones | Others | Others,(💜FREE SHIPPING💜) KERUSI TAMAN VIRAL🌷SET MEJA KOPI VIRAL🌷MEJA TAMAN ROTAN | Shopee Malaysia,5,bungabonda86,315
100,"KL City, Kuala Lumpur",Shopee | Men Shoes | Sneakers | Low Tops,READY STOCK🔥WEBEE 9682 BOB Sneaker Men's Sport's Kasut Outdoor Shoe Lelaki Wanita Sekolah Sneakers Travel | Shopee Malaysia,4.9,webee.,26.2
0.39,,Shopee | Sports & Outdoor | Fishing | Lines,seahawk tali gajah kaki burung dan kaki ayam 🐔🐔🐔harga ikut meter | Shopee Malaysia,4.9,a28888,0.39
